S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
8311,Dairy & Poultry,Cream,Dairy & Poultry Kit Professional - Cream Type 16,Product,Set,Lot,60
8312,Dairy & Poultry,Cream,Dairy & Poultry Standard Service - Cream Option 1,Service,Per Project,Contract,1
8313,Dairy & Poultry,Cream,Dairy & Poultry Premium Service - Cream Option 2,Service,Per Project,Contract,1
8314,Dairy & Poultry,Cream,Dairy & Poultry Consultation - Cream Option 3,Service,Per Project,Contract,1
8315,Dairy & Poultry,Cream,Dairy & Poultry Management Service - Cream Option 4,Service,Per Project,Contract,1
8316,Dairy & Poultry,Cream,Dairy & Poultry Support Service - Cream Option 5,Service,Per Project,Contract,1
8317,Dairy & Poultry,Cheese,Dairy & Poultry Product B - Cheese Type 1,Product,Service,Contract,90
8318,Dairy & Poultry,Cheese,Dairy & Poultry Product C - Cheese Type 2,Product,Ton,MT,95
8319,Dairy & Poultry,Cheese,Dairy & Poultry Item Premium - Cheese Type 3,Product,Pack,Carton,100
8320,Dairy & Poultry,Cheese,Dairy & Poultry Item Standard - Cheese Type 4,Product,Gram,Kg,105
8321,Dairy & Poultry,Cheese,Dairy & Poultry Item Economy - Cheese Type 5,Product,Can,Pallet,110
8322,Dairy & Poultry,Cheese,Dairy & Poultry Model X1 - Cheese Type 6,Product,Book,Box,115
8323,Dairy & Poultry,Cheese,Dairy & Poultry Model X2 - Cheese Type 7,Product,Certificate,Lot,120
8324,Dairy & Poultry,Cheese,Dairy & Poultry Model Pro - Cheese Type 8,Product,Credit,Pack,125
8325,Dairy & Poultry,Cheese,Dairy & Poultry Solution Basic - Cheese Type 9,Product,Per Filing,Annual,130
8326,Dairy & Poultry,Cheese,Dairy & Poultry Solution Advanced - Cheese Type 10,Product,Per Month,Annual,135
8327,Dairy & Poultry,Cheese,Dairy & Poultry Solution Enterprise - Cheese Type 11,Product,Per Hour,Monthly,140
8328,Dairy & Poultry,Cheese,Dairy & Poultry Pack Small - Cheese Type 12,Product,Per Project,Contract,145
8329,Dairy & Poultry,Cheese,Dairy & Poultry Pack Medium - Cheese Type 13,Product,Per Acre,Per Season,150
8330,Dairy & Poultry,Cheese,Dairy & Poultry Pack Large - Cheese Type 14,Product,Per Day,Monthly,155
8331,Dairy & Poultry,Cheese,Dairy & Poultry Kit Starter - Cheese Type 15,Product,Per Sample,Batch,160
8332,Dairy & Poultry,Cheese,Dairy & Poultry Kit Professional - Cheese Type 16,Product,Per Trip,Contract,165
8333,Dairy & Poultry,Cheese,Dairy & Poultry Standard Service - Cheese Option 1,Service,Per Project,Contract,1
8334,Dairy & Poultry,Cheese,Dairy & Poultry Premium Service - Cheese Option 2,Service,Per Project,Contract,1
8335,Dairy & Poultry,Cheese,Dairy & Poultry Consultation - Cheese Option 3,Service,Per Project,Contract,1
8336,Dairy & Poultry,Cheese,Dairy & Poultry Management Service - Cheese Option 4,Service,Per Project,Contract,1
8337,Dairy & Poultry,Cheese,Dairy & Poultry Support Service - Cheese Option 5,Service,Per Project,Contract,1
8338,Dairy & Poultry,Chicken,Dairy & Poultry Product B - Chicken Type 1,Product,Sqmt,Acre,195
8339,Dairy & Poultry,Chicken,Dairy & Poultry Product C - Chicken Type 2,Product,Kg,Ton,200
8340,Dairy & Poultry,Chicken,Dairy & Poultry Item Premium - Chicken Type 3,Product,Litre,Barrel,205
8341,Dairy & Poultry,Chicken,Dairy & Poultry Item Standard - Chicken Type 4,Product,Piece,Dozen,210
8342,Dairy & Poultry,Chicken,Dairy & Poultry Item Economy - Chicken Type 5,Product,Set,Lot,215
8343,Dairy & Poultry,Chicken,Dairy & Poultry Model X1 - Chicken Type 6,Product,Meter,Roll,220
8344,Dairy & Poultry,Chicken,Dairy & Poultry Model X2 - Chicken Type 7,Product,Box,Carton,225
8345,Dairy & Poultry,Chicken,Dairy & Poultry Model Pro - Chicken Type 8,Product,Bag,Pallet,230
8346,Dairy & Poultry,Chicken,Dairy & Poultry Solution Basic - Chicken Type 9,Product,Unit,Lot,235
8347,Dairy & Poultry,Chicken,Dairy & Poultry Solution Advanced - Chicken Type 10,Product,License,Subscription,240
8348,Dairy & Poultry,Chicken,Dairy & Poultry Solution Enterprise - Chicken Type 11,Product,Service,Contract,245
8349,Dairy & Poultry,Chicken,Dairy & Poultry Pack Small - Chicken Type 12,Product,Ton,MT,250
8350,Dairy & Poultry,Chicken,Dairy & Poultry Pack Medium - Chicken Type 13,Product,Pack,Carton,5
8351,Dairy & Poultry,Chicken,Dairy & Poultry Pack Large - Chicken Type 14,Product,Gram,Kg,10
8352,Dairy & Poultry,Chicken,Dairy & Poultry Kit Starter - Chicken Type 15,Product,Can,Pallet,15
8353,Dairy & Poultry,Chicken,Dairy & Poultry Kit Professional - Chicken Type 16,Product,Book,Box,20
8354,Dairy & Poultry,Chicken,Dairy & Poultry Standard Service - Chicken Option 1,Service,Per Project,Contract,1
8355,Dairy & Poultry,Chicken,Dairy & Poultry Premium Service - Chicken Option 2,Service,Per Project,Contract,1
8356,Dairy & Poultry,Chicken,Dairy & Poultry Consultation - Chicken Option 3,Service,Per Project,Contract,1
8357,Dairy & Poultry,Chicken,Dairy & Poultry Management Service - Chicken Option 4,Service,Per Project,Contract,1
8358,Dairy & Poultry,Chicken,Dairy & Poultry Support Service - Chicken Option 5,Service,Per Project,Contract,1
8359,Dairy & Poultry,Eggs,Dairy & Poultry Product B - Eggs Type 1,Product,Per Project,Contract,50
8360,Dairy & Poultry,Eggs,Dairy & Poultry Product C - Eggs Type 2,Product,Per Acre,Per Season,55
8361,Dairy & Poultry,Eggs,Dairy & Poultry Item Premium - Eggs Type 3,Product,Per Day,Monthly,60
8362,Dairy & Poultry,Eggs,Dairy & Poultry Item Standard - Eggs Type 4,Product,Per Sample,Batch,65
8363,Dairy & Poultry,Eggs,Dairy & Poultry Item Economy - Eggs Type 5,Product,Per Trip,Contract,70
8364,Dairy & Poultry,Eggs,Dairy & Poultry Model X1 - Eggs Type 6,Product,Per Formula,Contract,75
8365,Dairy & Poultry,Eggs,Dairy & Poultry Model X2 - Eggs Type 7,Product,Per Animal,Annual,80
8366,Dairy & Poultry,Eggs,Dairy & Poultry Model Pro - Eggs Type 8,Product,Sheet,Box,85
8367,Dairy & Poultry,Eggs,Dairy & Poultry Solution Basic - Eggs Type 9,Product,Roll,Pallet,90
8368,Dairy & Poultry,Eggs,Dairy & Poultry Solution Advanced - Eggs Type 10,Product,Sqft,Sqmt,95
8369,Dairy & Poultry,Eggs,Dairy & Poultry Solution Enterprise - Eggs Type 11,Product,Sqmt,Acre,100
8370,Dairy & Poultry,Eggs,Dairy & Poultry Pack Small - Eggs Type 12,Product,Kg,Ton,105
8371,Dairy & Poultry,Eggs,Dairy & Poultry Pack Medium - Eggs Type 13,Product,Litre,Barrel,110
8372,Dairy & Poultry,Eggs,Dairy & Poultry Pack Large - Eggs Type 14,Product,Piece,Dozen,115
8373,Dairy & Poultry,Eggs,Dairy & Poultry Kit Starter - Eggs Type 15,Product,Set,Lot,120
8374,Dairy & Poultry,Eggs,Dairy & Poultry Kit Professional - Eggs Type 16,Product,Meter,Roll,125
8375,Dairy & Poultry,Eggs,Dairy & Poultry Standard Service - Eggs Option 1,Service,Per Project,Contract,1
8376,Dairy & Poultry,Eggs,Dairy & Poultry Premium Service - Eggs Option 2,Service,Per Project,Contract,1
8377,Dairy & Poultry,Eggs,Dairy & Poultry Consultation - Eggs Option 3,Service,Per Project,Contract,1
8378,Dairy & Poultry,Eggs,Dairy & Poultry Management Service - Eggs Option 4,Service,Per Project,Contract,1
8379,Dairy & Poultry,Eggs,Dairy & Poultry Support Service - Eggs Option 5,Service,Per Project,Contract,1
8380,Dairy & Poultry,Duck Meat,Dairy & Poultry Product B - Duck Meat Type 1,Product,Ton,MT,155
8381,Dairy & Poultry,Duck Meat,Dairy & Poultry Product C - Duck Meat Type 2,Product,Pack,Carton,160
8382,Dairy & Poultry,Duck Meat,Dairy & Poultry Item Premium - Duck Meat Type 3,Product,Gram,Kg,165
8383,Dairy & Poultry,Duck Meat,Dairy & Poultry Item Standard - Duck Meat Type 4,Product,Can,Pallet,170
8384,Dairy & Poultry,Duck Meat,Dairy & Poultry Item Economy - Duck Meat Type 5,Product,Book,Box,175
8385,Dairy & Poultry,Duck Meat,Dairy & Poultry Model X1 - Duck Meat Type 6,Product,Certificate,Lot,180
8386,Dairy & Poultry,Duck Meat,Dairy & Poultry Model X2 - Duck Meat Type 7,Product,Credit,Pack,185
8387,Dairy & Poultry,Duck Meat,Dairy & Poultry Model Pro - Duck Meat Type 8,Product,Per Filing,Annual,190
8388,Dairy & Poultry,Duck Meat,Dairy & Poultry Solution Basic - Duck Meat Type 9,Product,Per Month,Annual,195
8389,Dairy & Poultry,Duck Meat,Dairy & Poultry Solution Advanced - Duck Meat Type 10,Product,Per Hour,Monthly,200
8390,Dairy & Poultry,Duck Meat,Dairy & Poultry Solution Enterprise - Duck Meat Type 11,Product,Per Project,Contract,205
8391,Dairy & Poultry,Duck Meat,Dairy & Poultry Pack Small - Duck Meat Type 12,Product,Per Acre,Per Season,210
8392,Dairy & Poultry,Duck Meat,Dairy & Poultry Pack Medium - Duck Meat Type 13,Product,Per Day,Monthly,215
8393,Dairy & Poultry,Duck Meat,Dairy & Poultry Pack Large - Duck Meat Type 14,Product,Per Sample,Batch,220
8394,Dairy & Poultry,Duck Meat,Dairy & Poultry Kit Starter - Duck Meat Type 15,Product,Per Trip,Contract,225
8395,Dairy & Poultry,Duck Meat,Dairy & Poultry Kit Professional - Duck Meat Type 16,Product,Per Formula,Contract,230
8396,Dairy & Poultry,Duck Meat,Dairy & Poultry Standard Service - Duck Meat Option 1,Service,Per Project,Contract,1
8397,Dairy & Poultry,Duck Meat,Dairy & Poultry Premium Service - Duck Meat Option 2,Service,Per Project,Contract,1
8398,Dairy & Poultry,Duck Meat,Dairy & Poultry Consultation - Duck Meat Option 3,Service,Per Project,Contract,1
8399,Dairy & Poultry,Duck Meat,Dairy & Poultry Management Service - Duck Meat Option 4,Service,Per Project,Contract,1
8400,Dairy & Poultry,Duck Meat,Dairy & Poultry Support Service - Duck Meat Option 5,Service,Per Project,Contract,1
8401,Data Analytics Services,Business Intelligence,Data Analytics Services Product B - Business Intelligence Type 1,Product,Kg,Ton,10
8402,Data Analytics Services,Business Intelligence,Data Analytics Services Product C - Business Intelligence Type 2,Product,Litre,Barrel,15
8403,Data Analytics Services,Business Intelligence,Data Analytics Services Item Premium - Business Intelligence Type 3,Product,Piece,Dozen,20
8404,Data Analytics Services,Business Intelligence,Data Analytics Services Item Standard - Business Intelligence Type 4,Product,Set,Lot,25
8405,Data Analytics Services,Business Intelligence,Data Analytics Services Item Economy - Business Intelligence Type 5,Product,Meter,Roll,30
8406,Data Analytics Services,Business Intelligence,Data Analytics Services Model X1 - Business Intelligence Type 6,Product,Box,Carton,35
8407,Data Analytics Services,Business Intelligence,Data Analytics Services Model X2 - Business Intelligence Type 7,Product,Bag,Pallet,40
8408,Data Analytics Services,Business Intelligence,Data Analytics Services Model Pro - Business Intelligence Type 8,Product,Unit,Lot,45
8409,Data Analytics Services,Business Intelligence,Data Analytics Services Solution Basic - Business Intelligence Type 9,Product,License,Subscription,50
8410,Data Analytics Services,Business Intelligence,Data Analytics Services Solution Advanced - Business Intelligence Type 10,Product,Service,Contract,55
8411,Data Analytics Services,Business Intelligence,Data Analytics Services Solution Enterprise - Business Intelligence Type 11,Product,Ton,MT,60
8412,Data Analytics Services,Business Intelligence,Data Analytics Services Pack Small - Business Intelligence Type 12,Product,Pack,Carton,65
8413,Data Analytics Services,Business Intelligence,Data Analytics Services Pack Medium - Business Intelligence Type 13,Product,Gram,Kg,70
8414,Data Analytics Services,Business Intelligence,Data Analytics Services Pack Large - Business Intelligence Type 14,Product,Can,Pallet,75
8415,Data Analytics Services,Business Intelligence,Data Analytics Services Kit Starter - Business Intelligence Type 15,Product,Book,Box,80
8416,Data Analytics Services,Business Intelligence,Data Analytics Services Kit Professional - Business Intelligence Type 16,Product,Certificate,Lot,85
8417,Data Analytics Services,Business Intelligence,Data Analytics Services Standard Service - Business Intelligence Option 1,Service,Per Project,Contract,1
8418,Data Analytics Services,Business Intelligence,Data Analytics Services Premium Service - Business Intelligence Option 2,Service,Per Project,Contract,1
8419,Data Analytics Services,Business Intelligence,Data Analytics Services Consultation - Business Intelligence Option 3,Service,Per Project,Contract,1
8420,Data Analytics Services,Business Intelligence,Data Analytics Services Management Service - Business Intelligence Option 4,Service,Per Project,Contract,1
8421,Data Analytics Services,Business Intelligence,Data Analytics Services Support Service - Business Intelligence Option 5,Service,Per Project,Contract,1
8422,Data Analytics Services,Data Warehousing,Data Analytics Services Product B - Data Warehousing Type 1,Product,Per Acre,Per Season,115
8423,Data Analytics Services,Data Warehousing,Data Analytics Services Product C - Data Warehousing Type 2,Product,Per Day,Monthly,120
8424,Data Analytics Services,Data Warehousing,Data Analytics Services Item Premium - Data Warehousing Type 3,Product,Per Sample,Batch,125
8425,Data Analytics Services,Data Warehousing,Data Analytics Services Item Standard - Data Warehousing Type 4,Product,Per Trip,Contract,130
8426,Data Analytics Services,Data Warehousing,Data Analytics Services Item Economy - Data Warehousing Type 5,Product,Per Formula,Contract,135
8427,Data Analytics Services,Data Warehousing,Data Analytics Services Model X1 - Data Warehousing Type 6,Product,Per Animal,Annual,140
8428,Data Analytics Services,Data Warehousing,Data Analytics Services Model X2 - Data Warehousing Type 7,Product,Sheet,Box,145
8429,Data Analytics Services,Data Warehousing,Data Analytics Services Model Pro - Data Warehousing Type 8,Product,Roll,Pallet,150
8430,Data Analytics Services,Data Warehousing,Data Analytics Services Solution Basic - Data Warehousing Type 9,Product,Sqft,Sqmt,155
8431,Data Analytics Services,Data Warehousing,Data Analytics Services Solution Advanced - Data Warehousing Type 10,Product,Sqmt,Acre,160
8432,Data Analytics Services,Data Warehousing,Data Analytics Services Solution Enterprise - Data Warehousing Type 11,Product,Kg,Ton,165
8433,Data Analytics Services,Data Warehousing,Data Analytics Services Pack Small - Data Warehousing Type 12,Product,Litre,Barrel,170
8434,Data Analytics Services,Data Warehousing,Data Analytics Services Pack Medium - Data Warehousing Type 13,Product,Piece,Dozen,175
8435,Data Analytics Services,Data Warehousing,Data Analytics Services Pack Large - Data Warehousing Type 14,Product,Set,Lot,180
8436,Data Analytics Services,Data Warehousing,Data Analytics Services Kit Starter - Data Warehousing Type 15,Product,Meter,Roll,185
8437,Data Analytics Services,Data Warehousing,Data Analytics Services Kit Professional - Data Warehousing Type 16,Product,Box,Carton,190
8438,Data Analytics Services,Data Warehousing,Data Analytics Services Standard Service - Data Warehousing Option 1,Service,Per Project,Contract,1
8439,Data Analytics Services,Data Warehousing,Data Analytics Services Premium Service - Data Warehousing Option 2,Service,Per Project,Contract,1
8440,Data Analytics Services,Data Warehousing,Data Analytics Services Consultation - Data Warehousing Option 3,Service,Per Project,Contract,1
8441,Data Analytics Services,Data Warehousing,Data Analytics Services Management Service - Data Warehousing Option 4,Service,Per Project,Contract,1
8442,Data Analytics Services,Data Warehousing,Data Analytics Services Support Service - Data Warehousing Option 5,Service,Per Project,Contract,1
8443,Data Analytics Services,Big Data Analytics,Data Analytics Services Product B - Big Data Analytics Type 1,Product,Pack,Carton,220
8444,Data Analytics Services,Big Data Analytics,Data Analytics Services Product C - Big Data Analytics Type 2,Product,Gram,Kg,225
8445,Data Analytics Services,Big Data Analytics,Data Analytics Services Item Premium - Big Data Analytics Type 3,Product,Can,Pallet,230
8446,Data Analytics Services,Big Data Analytics,Data Analytics Services Item Standard - Big Data Analytics Type 4,Product,Book,Box,235
8447,Data Analytics Services,Big Data Analytics,Data Analytics Services Item Economy - Big Data Analytics Type 5,Product,Certificate,Lot,240
8448,Data Analytics Services,Big Data Analytics,Data Analytics Services Model X1 - Big Data Analytics Type 6,Product,Credit,Pack,245
8449,Data Analytics Services,Big Data Analytics,Data Analytics Services Model X2 - Big Data Analytics Type 7,Product,Per Filing,Annual,250
8450,Data Analytics Services,Big Data Analytics,Data Analytics Services Model Pro - Big Data Analytics Type 8,Product,Per Month,Annual,5
8451,Data Analytics Services,Big Data Analytics,Data Analytics Services Solution Basic - Big Data Analytics Type 9,Product,Per Hour,Monthly,10
